publisher,average_rating
18-Oct,3.65
1st Book Library,3.58
1st World Library,4.18
A & C Black (Childrens books),4.4
A Harvest Book/Harcourt  Inc.,4.07
A K PETERS,4.5
AA World Services,4.45
ACE,3.56
ADV Manga,4.038
AHA! Process,3.9
AIT Planet Lar,3.0
AK Press,3.93
AMR/Advanced Management Reports,0.0
ASCD,3.25
AVA Publishing,3.62
Abacus,3.921666666666667
Abacus Books,4.21
Abacus Books (London),3.87
Abdo Publishing Company,4.306666666666667
Abingdon Press,4.27
Abradale Books/Harry N. Abrams,4.11
Abraham Guillen Press,3.31
Abrams,3.69
Absolute Press,3.55
Abstract Studio,4.38
Academic Press,4.0
Academica Press,5.0
Academy Chicago Publishers,3.81
Ace,3.8220000000000005
Ace Book,4.01
Ace Books,3.8708333333333336
Ace Hardcover,4.36
Ace Trade,3.3049999999999997
Ace/SFBC,4.01
Acento Editorial,4.21
Acropolis Books (NY),4.33
Actes Sud,3.9050000000000002
Adamant Media Corporation,3.7
Adams Media,3.825
Addison Wesley,3.83
Addison Wesley Publishing Company,4.273999999999999
Addison-Wesley Professional,4.1899999999999995
Advantage World Press,3.74
Adventures Unlimited Press,3.9299999999999997
Aegypan,3.78
Aerie,3.64
Aivia Press,4.04
Akashic Books/Punk Planet Books,3.72
Aladdin,3.880526315789474
Aladdin Paperbacks,3.975454545454546
Alan Rodgers Books,4.04
Albert Whitman  Company,3.94
Albin Michel,3.8
Albury Publishing,4.21
Alcoholics Anonymous World Services Inc,4.45
Alderac Entertainment Group,3.78
Alderac Entertainment Group (AEG),3.68
Alfabeta Bokförlag,3.0
Alfaguara,3.8280000000000003
Alfaguara Infantil,4.05
Alfred A. Knopf,3.8509677419354835
Alfred A. Knopf  Inc.,3.71
Alfred A. Knopf Books for Young Readers,3.996
Alfred A. Knopf Borzoi Books,4.07
Alfred A.Knopf,4.03
Algonquin Books,3.748
Alianza Editorial,4.04
Alison Green Books,3.53
Allen & Ulwin,3.5
Allen Lane,4.025
Alliance Publishing,3.09
Allworth,3.56
Allyn & Bacon,3.6466666666666665
Alpha,3.92
Alpha Books,3.32
Alyson Books,3.59
Amadeus,3.5
Amereon Limited,3.68
Amereon Ltd,3.91
America's Test Kitchen,4.46
American Diabetes Association,3.42
American Girl Publishing Inc,4.1339999999999995
American University in Cairo Press,3.55
Amherst Media,3.38
Amherst Media  Inc.,3.62
Amistad,3.8880000000000003
Amistad Press,4.03
Anagrama,4.025714285714286
Anchor,3.9008064516129033
Anchor Bible,4.0
Anchor Books,3.8642499999999997
Anchor Books/Knopf Doubleday Publishing Group,3.43
Anchor Canada,4.21
Andrews McMeel Publishing,4.35
Andrews and McMeel,3.68
Ann Arbor Media,3.69
Annick Press,4.0
Applause Books,4.176666666666667
Applause Theatre & Cinema Book Publishers,3.81
Apple,3.5
Apple Paperbacks (Scholastic),3.72
Applewood Books,3.921666666666667
Apress,3.8025
Arbordale Publishing,3.87
Arcade Publishing,4.25
Arcadia Publishing,4.056666666666667
Arcadia Publishing (SC),3.71
Archaia,4.055
Archie Comics,3.91
Archipelago Books,3.94
Arden Shakespeare,4.22
Aris & Phillips,4.2
Aris and Phillips,4.5
Arkana,4.0
Arkana/Penguin,4.255
Arkham House Publishers,3.875
Arlington House,3.88
Arléa,4.24
Arrow,3.8346428571428572
Arrow (A Division of Random House Group),3.5
Arrow Books,3.8940000000000006
Arrow Books Ltd,4.15
Arsenal Pulp Press,3.9
Arthur A. Levine,4.4
Arthur A. Levine Books,4.0649999999999995
Arthur A. Levine Books / Scholastic Inc.,4.42
Artisan,4.23
Arts Publications,0.0
Ash Tree Publishing,4.45
Ash-Tree Press,4.0
Aspect,3.7640000000000002
Association for Scottish Literary Studies,3.92
Association for Supervision & Curriculum Development,3.8950000000000005
Atelos Press,4.13
Atheneum,4.245
Atheneum Books,4.023333333333333
Atheneum Books for Young Readers,4.081428571428572
Atheneum Books for Young Readers: Richard Jackson Books,3.72
Atheneum/Richard Jackson Books,3.845
Atlantic,3.795
Atlantic Books,3.6999999999999997
Atlantic Books (UK),3.9299999999999997
Atlantic Monthly Press,4.025
Atlantic Monthly Press (NYC),3.86
Atlas Books/HarperCollins Publishers,3.91
Atria Books,3.8575
Audio Literature,4.1
Audio Partners,3.87
Audio Renaissance,3.95
AudioGO,3.9922222222222223
AudioText,3.645
Audiogo,4.103333333333333
Augsburg Fortress Publishing,3.8466666666666662
Aurum,4.02
Aurum Press,4.36
Authorhouse,3.025
Avalon Travel,4.24
Ave Maria Press,4.25
Avenel Books,4.324999999999999
Avery,3.81
Avery Publishing Group,3.9699999999999998
Avon,3.898214285714286
Avon Books,3.783
Avon Books (AvoNova),3.69
Avon Books (P),4.07
Avon HarperCollins,3.66
AvonEos,4.02
Award Books,3.66
B Books,3.62
B Fiction,3.44
B&H Publishing Group,4.105
B.E.S. Publishing,3.855
BALLANTINE BOOKS,3.93
BBC Audiobooks,4.085555555555555
BBC Audiobooks America,4.07
BBC Audiobooks Ltd,4.35
BBC Books,4.119999999999999
BBC Physical Audio,4.4159999999999995
BBC Worldwide,4.22
BCP/Duckworth Publishing,4.45
Babel,3.8866666666666667
Back Bay,3.92
Back Bay Books,3.857
Backinprint.com,3.9299999999999997
Backstage Books,4.45
Baen,3.9628571428571426
Baen Books,3.8871428571428575
Baker Books,3.72
Ballantine,4.169999999999999
Ballantine Books,3.875
Ballantine Books (NY),3.92
Banner of Truth,4.390000000000001
Bantam,3.8894545454545453
Bantam (Fanfare Imprint),3.545
Bantam (Fanfare),3.63
Bantam Books,3.8635416666666664
Bantam Books  Inc.,4.34
Bantam Books (NY),3.8666666666666667
Bantam Classic,3.8
Bantam Classics,4.024545454545454
Bantam Doubleday Dell (NYC),3.81
Bantam Doubleday Dell Publishing Company Inc.,3.52
Bantam Doubleday Dell Publishing Group,3.956666666666667
Bantam Press,4.106
Bantam Skylark,4.199999999999999
Bantam Spectra,3.9875
Bantam Spectra (NY),4.21
Bantam Starfire,3.83
BantamSpectra,3.98
Bantem Press,4.13
Barbour Books,4.58
Barefoot Books,4.21
Barn Owl Books,4.33
Barnes  Noble,4.0600000000000005
Barnes  Noble Classics,3.9921875
Barnes & Noble,4.114999999999999
Barnes & Noble Books,4.14
Barnes & Noble Classics,3.9074999999999998
Baronet Books,4.08
Barricade Books,4.11
Barrington Stoke,3.39
Barron's Educational Series,3.8025
Barrons Educational Series,3.8979999999999997
Basic Books,4.077209302325581
Basic Books (AZ),4.32
Basil Blackwell (Cambridge  MA/Oxford),4.11
Bastei Lübbe,4.34
Baton Wicks,3.93
Batsford,4.31
Be Beautiful,4.343333333333334
Beach Lane Books,4.11
Beacon Press,4.133
Beacon Press (Boston),4.36
Bear  Company,3.71
Beckett Media,0.0
Bedford Books,3.6275
Bedford/St. Martin's,3.55
Belknap Press,4.014285714285714
Belknap Press of Harvard University Press,4.22
Beltz und Gelberg,3.76
BenBella Books,3.95
Benjamin Cummings,3.88
Benjamin-Cummings Publishing Company,3.6799999999999997
Benziger,4.23
Berkley,3.8869767441860463
Berkley Books,3.936511627906977
Berkley Books (NY),3.56
Berkley Hardcover,4.12
Berkley Heat,3.96
Berkley Prime Crime,3.79
Berkley Prime Crime Books,3.81
Berkley Publishing,4.09
Berkley Publishing Group,3.78
Berkley Sensation,3.959285714285714
Berkley Trade,3.867272727272727
Berlitz Kids,4.14
Berrett-Koehler Publishers,3.775
Bertrand,3.81
Bethany House Publishers,3.968
Better Homes and Gardens Books,3.83
Between the Lines Productions,0.0
BiblioLife,3.78
Big Finish,3.38
Billboard Books,3.67
Birlinn,4.24
Birlinn Ltd,4.32
Bison Books,3.73
Black Classic Press,4.56
Black Dog & Leventhal,4.085
Black Dog & Leventhal Publishers,4.043
Black Lizard Books,4.22
Black Sparrow Press,4.035
Black Swan,3.8358333333333334
Blackstone Audiobooks,4.11090909090909
Blackstone Publishing,4.19
Blackwell Publishers,3.8800000000000003
Blackwell Publishing  Inc.,4.23
Blanvalet Taschenbuch,4.17
Blanvalet Taschenbuch Verlag,3.8799999999999994
Blanvalet Verlag GmbH,3.92
Blood Moon Productions,3.51
Bloomsbury,3.877272727272727
Bloomsbury (NYC),3.88
Bloomsbury / Continuum,4.07
Bloomsbury Academic,3.9226315789473687
Bloomsbury Arden Shakespeare,3.867777777777778
Bloomsbury Children's Books,3.46
Bloomsbury Childrens Books,4.15
Bloomsbury Methuen Drama,3.7066666666666666
Bloomsbury Paperbacks,3.67
Bloomsbury Publishing,4.34
Bloomsbury Publishing PLC,3.814285714285714
Bloomsbury U.S.A. Children's Books,3.9966666666666666
Bloomsbury UK,4.56
Bloomsbury USA,3.7566666666666664
Bloomsbury USA Children's Books,4.42
Bloomsbury USA Childrens,4.47
Blu,4.105714285714286
Blue Sky Press,3.74
Bolchazy-Carducci Publishers,4.113333333333333
Bold Strokes Books,4.21
Bollingen/Princeton University Press (NJ),4.43
Book Publishing Company,3.89
Book Publishing Company (TN),4.38
Book of the Month Club,3.92
Bookclub-In-A-Box,4.0
Booket,3.8
Booklocker.com  Inc.,4.5
Books on Tape,3.8966666666666665
Booksales,3.75
Bookspan,3.94
Boosey & Hawkes Inc,5.0
Borgo Press,3.775
Boston Common Press,4.69
Bradford Book,4.0775
BradyGames,3.6574999999999998
Bradygames,3.98
Bragelonne,3.45
Brava,3.725
Bright Sky Press,4.41
Brill/Rodopi,3.7
Brilliance Audio,4.11
Bristol Classical Press,3.72
British Academy,3.11
British Film Institute,4.091666666666667
British Library,4.15
Broadview Press Inc,3.6759999999999997
Broadway,4.36
Broadway Books,3.869183673469388
Broadway Business,3.97
Broadway/Crown Publishing Group,3.91
Brookline Books,3.75
Bruno Gmünder,3.67
Bryn Mawr Commentaries,4.5
Buccaneer Books,4.0200000000000005
Bulfinch,4.39
Bureau of Public Secrets,4.26
Burford Books,3.77
Business Plus,3.6466666666666665
Byblos,3.89
C. Bange,3.6
CDS Books,3.66
CMX,3.83
CQ Press,4.0
CRC Press,4.53
Caedmon,4.047142857142857
Cambridge University Press,3.9316666666666666
Cambridge University Press/The New Cambridge Shakespeare,4.02
Canadian Broadcasting Corporation (CBC Audio),4.505
Candlewick,3.9966666666666666
Candlewick Press,3.9927272727272727
Candlewick Press (MA),4.086666666666667
Canongate Books,3.69
Canongate U.S.,3.7300000000000004
Capstone Press,4.12
Cardoza,3.94
Carl Hanser,3.9299999999999997
Carlsen,4.2775
Carlton Publishing Group,3.66
Carole Marsh Mysteries,3.615
Carroll & Graf,3.9
Carroll & Graf Publishers,3.8
Cartago,4.36
Cartwheel,3.515
Casa Creacion,4.18
Castle Books,4.26
Catholic Book Publishing,3.92
Cavendish Square Publishing,3.9659999999999997
Cedar Books,4.19
Celestial Arts,4.295
Cemetery Dance Publications,4.064
Cengage Learning,3.61
Center Point,4.29
Century,3.57
Chalice Press,3.865
Challenge Press  Inc./Challcrest Press,4.06
Changeling Press,3.76
Chaosium,3.935
Charles Scribner's Sons,3.8149999999999995
Charlesbridge,3.6449999999999996
Charnwood,4.26
Chartwell Books,5.0
Chatto  Windus,3.96
Chatto & Windus,4.0625
Chatto and Windus,3.995
Checkmark Books,4.33
Chelsea House Publications,4.16
Chelsea House Publishers,4.25
Cherry Lane Music Company,4.33
Cherry Red Books,3.99
Chicago Review Press,4.102857142857143
Chicken House,3.83
Chicken House / Scholastic,3.76
Child's Play International,4.32
Children's Classics,4.13
Children's Press(CT),3.53
Chosen Books,4.41
Christian Classics,4.3100000000000005
Chronicle Books,3.917857142857143
Chu Hartley Publishers LLC,3.76
Churchill Livingstone,3.67
Circlet Press,3.37
Cisne,3.94
Cistercian Publications,3.43
Citadel,4.0053846153846155
Citadel Press,3.66
City Lights,4.13
City Lights Publishers,4.03
Civitas Books,4.19
Claassen Verlag,3.76
Clarendon Press,4.08
Clarion Books,3.81
Clarity Press,4.2
Clarkson Potter,3.9971428571428573
Clarkson Potter Publishers,3.9899999999999998
Clarkson Potter/Publishers,3.71
Classic Books,3.87
Cleis Press,4.17
Cliffs Notes,3.6823076923076927
Coffee House Press,3.7249999999999996
Cold Spring Harbor Laboratory Press,3.86
Cold Spring Press,3.54
Collection of Historical Scientific Instruments,4.5
Collector's Library,3.965
Collectors Library,3.89
Collier Books,4.02
Collins,4.17
Collins Design,4.08
Collins Modern Classics,4.59
Collins Publishers,3.82
Collins Reference,4.0225
Columbia Pictures Pubns,4.32
Columbia University Press,3.9278571428571425
ComicsLit,4.04
ComicsOne Corporation,3.9
Companhia das Letras,3.99
Conari Press,4.31
Condor Books,3.96
Contemporary Books,3.78
Contemporary French Fiction,3.96
Continuum,3.78
Cook's Illustrated,4.335
Cooper Square Press,4.12
Cooper Square Publishers,4.03
Copernicus Books,3.61
Copper Canyon Press,4.225
Corgi,4.062222222222222
Corgi Books,3.8049999999999997
Corgi Books (Adult),4.14
Corgi Childrens,4.055
Cornell University Press,4.074999999999999
Cornerstone Press Chicago,3.93
Coronet,3.5949999999999998
Coronet Books (GB),4.08
Cosimo Classics,4.0
Cosmos Books (OH),3.8
Council Oak Books,3.85
Council Press,3.57
Counterpoint,3.62
Counterpoint LLC,3.655
Countryman Press,4.13
Courage Books,5.0
Course Technology,3.8666666666666667
Creation Books,3.92
Crescent,3.52
Critica (Grijalbo Mondadori),4.22
Crossing Press,4.49
Crossroad,4.3100000000000005
Crossroad Publishing Company,3.6
Crossway Books,4.24
Crown,3.8542857142857145
Crown Business,4.02
Crown Forum,4.0
Crown Journeys/Crown Publishers/Crown Publishing Group/Random House,3.51
Crown Publishers,3.77
Crown Publishing Group,4.05
Crown Publishing Group (NY),3.91
Cruithne Press,3.0
Crystal Clarity Publishers,3.9800000000000004
Cumberland House Publishing,3.8
Cybereditions Corp,4.11
Cátedra,3.06
Círculo de Lectores,3.91
DAW,3.84609756097561
DAW Books,3.685
DAW Books (NY),3.56
DAW Books Inc,4.128
DAW Fantasy,4.2
DAW Hardcover,4.13
DAW SF,3.11
DC Comics,3.799032258064516
DC Comics Vertigo,4.003333333333334
DEBOLS!LLO,3.84
DK,4.4399999999999995
DK Children,4.09
DK Publishing,4.165
DK Publishing (Dorling Kindersley),4.124285714285714
Da Capo Press,3.9742857142857146
Dabel Brothers Productions,4.45
Dabel Brothers Publishing,3.885
Dafina Books,4.38
Daimon Verlag,4.02
Dalkey Archive Press,3.8175
Dante University of America Press,3.81
Dark Horse,3.6439999999999997
Dark Horse Books,3.7988888888888885
Dark Horse Comics,3.89
Dark Horse Manga,3.9829999999999997
Dartmouth College Press,3.46
Darton  Longman & Todd,4.26
David C Cook,3.96
David C. Cook,3.96
David R. Godine,4.234999999999999
David R. Godine Publisher,3.9116666666666666
Daw Books,4.024615384615385
De Boekerij,4.18
DeBolsillo,3.9285714285714284
DeVorss & Company,2.98
Deadite Press (Eraserhead Press),3.69
Debolsillo,3.868333333333333
Dedalus,4.09
Dedalus Limited,3.53
Del Rey,4.041625
Del Rey Ballantine Random House,4.3
Del Rey Books,3.9145454545454546
Del Rey Books (NY),4.22
Del Rey Fantasy,3.62
Del Rey/Ballantine Books,3.83
Delacorte Books,3.81
Delacorte Books for Young Readers,4.093999999999999
Delacorte Press,3.8527777777777774
Delcourt,4.02
Dell,3.83
Dell Laurel-Leaf,4.1
Dell Publishing,3.92
Dell Publishing Company,3.8530769230769235
Dell Yearling,3.69
Delmar Thomson Learning,4.04
Delta,3.981
Delta Publishing,3.88
Denoël,3.8840000000000003
Deodand,3.99
Deodand Publishing,2.86
Dervy,4.23
Deseret Book Company,3.78
Destino Ediciones,3.48
Destiny Books,4.1
Destiny Image Incorporated,4.33
Deutscher Taschenbuch Verlag,3.86
Devil's Due Publishing,4.12
Dey Street Books,3.8925
Dhv der Hörverlag,4.56
Dial,3.89
Dial Books,3.95
Dial Press,3.883846153846154
Dial Press Trade Paperback,4.005833333333333
Diamond/Charter,4.14
Diana TB,3.79
Digireads.com,3.7900000000000005
Digital Manga Publishing,3.934
Digital Manga Publishing / Dark Horse,4.06
Diogenes,4.02
Diogenes Verlag,3.9
Disinformation Books,3.46
Disinformation Company,3.855
Disney Editions,4.44
Disney Enterprises,4.32
Disney Hyperion Books,4.245
Disney Press,4.023571428571429
Disney-Hyperion,3.8322222222222226
Distribooks,3.28
Do-Not Press,4.27
Dodd Mead; 1st edition (September 1976),3.95
Dodo Press,3.956666666666667
Doherty  Tom Associates  LLC,3.89
Dominion Press,4.18
Dorling Kindersley Children,3.85
Doubleday,3.948333333333333
Doubleday & Company  Inc.,4.38
Doubleday Books,3.9658823529411764
Doubleday Books for Young Readers,4.15
Doubleday Canada,3.88
Doubleday Publishing (NY),3.84
Douglas  McIntyre,3.84
Douglas & McIntyre,4.085
Dover Publications,3.9538823529411764
Dover Publications  Inc.,3.9699999999999998
Dover Publications (NY),4.06
Dover Publications (NYC),3.65
Downtown Press,3.82
Dr. Master Productions Inc.,3.55
Dragon Door Publications,4.0
Dragonfly Books,4.13
Dramatists Play Service,3.942857142857143
Dramatists Play Service  Inc.,3.93
Drawn and Quarterly,4.26
Droemer Knaur,4.09
Dtv,3.53
Duke University Press Books,3.9375
Dundurn,3.7
Dutton,3.8183333333333334
Dutton Adult,3.95
Dutton Books,3.836
Dutton Books for Young Readers,3.85
Dutton Children's Books,4.32
Dutton Juvenile,3.945
ECW Press,4.13
EMC/Paradigm Publishing,4.0
EOS,4.0
Earthlight,3.825
East Bay Municipal Utility District,4.3
Ebury Press,3.375
Ecco,3.7689473684210526
Ecco / HarperCollins,3.98
Ecco Press,4.076666666666667
Ecco/Harper Perennial,4.07
Edaf S.A.,4.32
Edebé,3.77
Ediciones B,3.9566666666666666
Ediciones Glénat España,3.99
Ediciones Urano,3.81
Edicións Xerais de Galicia  S.A.,3.36
Edimat Libros,4.0675
Editions 10/18,3.8449999999999998
Editions Gallimard,3.98
Editions de l'Olivier,3.77
Editions du Rocher,3.74
Editorial Diana,3.9
Editorial Juventud,4.13
Editorial Presença,4.001666666666667
Editorial RM,4.05
Edwin Mellen Press,3.94
Eerdmans,4.03
Egmont Books Ltd,4.21
Egmont Children's Books,3.98
El Paso Norte Press,4.16
Element,4.1
Ellora's Cave,3.7066666666666666
Elloras Cave,4.21
Ember,3.85
Emece Editores,4.49
Emecé Editores,4.33
Eminent Lives,3.975
Encounter Books,4.38
Enitharmon Press,3.91
Eos,3.9939999999999998
Eraserhead Press,3.56
Eros Comix,3.56
Europa Editions,3.813333333333333
Evans Brothers,3.76
Everyman,4.095
Everyman Chess,4.25
Everyman Library / Overlook Press,4.01
Everyman Paperback Classics,3.32
Everyman Paperbacks,3.79
Everyman's Library,4.147435897435898
Everyman's Library 234,3.99
Everyman's Library Classics,4.33
Everymans Library,3.76
Exact Change,4.25
Express Publishing,4.08
F & W Publications Inc.,3.9
F. Meiner,4.78
FASA Corp.,3.89
FASA Corporation,3.71
FT Press,3.83
Fab Press,4.45
Faber  Faber,3.9659999999999997
Faber & Faber,3.9493333333333336
Faber & Faber Limited,3.49
Faber & Faber Ltd.,4.25
Faber and Faber,3.873846153846154
Faber and Faber & Penguin India,3.94
FaithWords,4.316666666666666
Fandemonium Books,3.79
Fanfare,3.6366666666666667
Fantagraphics,3.9866666666666664
Fantagraphics Books,4.1
Fantasy Flight Games,4.05
Farrar  Straus & Giroux,3.88
Farrar  Straus and Giroux,4.074146341463415
Farrar  Straus and Giroux (BYR),4.12
Farrar  Straus and Giroux (NY),3.68
Farrar  Strauss & Giroux-3pl,3.58
Farrar Straus Giroux,3.7840000000000003
Farrar Straus and Giroux,3.7800000000000002
Fawcett,3.8880000000000003
Fawcett Books,3.8790909090909094
Fawcett Coventry,3.0
Fawcett Crest,3.97
Fawcett Crest Books,3.735
Fawcett crest,3.83
Feiwel & Friends,4.36
Fellowship for the Performance,4.6
Felony & Mayhem,3.51
Feminist Press,4.07
Feral House,3.6500000000000004
Festival,4.3
Festival Books,4.31
Filiquarian Publishing  LLC.,3.66
Findakly,3.87
Firebird,3.9375
Firebird Books,3.95
Firebrand Books,3.95
Firelight Press,4.0
Fireside,3.7
Fireside Books,4.44
First Avenue Editions (Tm),3.64
Fischer (Tb.),3.97
Fischer TB,3.93
Fischer Taschenbuch Verlag,3.94
Fithian Press,0.0
Five Star (ME),3.6
Five Star Trade,3.61
Flamingo,3.9000000000000004
Fleming H Revell Co,4.22
Fleming H. Revell Company,4.36
Focal Press,3.84
Focus,3.983333333333333
Focus Publishing/R. Pullins Company,3.42
Focus on the Family Publishing,3.36
Fodor's,3.43
Folio,4.175000000000001
Folio histoire,3.96
FonoLibro,3.89
Fontana,4.025
Fontana Books,4.05
Fontana Press,4.1
For Dummies,3.6955555555555555
Forge,3.81
Forge Books,3.618
Fortress Press,3.67
Fount,4.22
Four Ninety-Eight Productions,4.72
Four Walls Eight Windows Press,3.72
Fourth Estate,3.925
Fourth Estate (GB),3.52
Fourth Estate Ltd,3.76
Fourth Estate Paperbacks,3.79
Franklin Watts,3.6
Frederick P. Lenz Foundation for American Buddhism,0.0
Fredonia Books (NL),3.74
Free Press,3.8764285714285713
Free Spirit Publishing,4.04
French & European,4.07
French & European Publications,3.4
French & European Pubns,4.1
Fulcrum Publishing,3.96
Futura,4.35
G. P. Putnam's Sons,3.41
G.P. Putnam's Sons,3.93025
G.P. Putnam's Sons Books for Young Readers,4.046666666666667
Gaia Books,4.38
Galahad Books,4.03
Gale Cengage,0.0
Gallery / Saga Press,4.09
Gallery Books,3.93375
Gallimard,3.875625
Gallimard Education,3.855
Gallimard Jeunesse,4.225
Gallopade International,3.61
Gamble Guides,3.75
Games Workshop,3.77
Games Workshop(uk),3.81
Gardners Books,3.9050000000000002
Gauntlet Press,4.17
Geddes & Grosset,4.36
Gemstone Publishing,4.343333333333334
Geoplaneta,4.03
George Braziller,3.72
George Braziller Inc.,4.41
Gibbs Smith,3.7925
Gibbs Smith Publishers,4.025
Gingko Press,4.03
Globe,3.66
Glénat,4.217777777777778
Godsfield Press Ltd,3.6
Gold Eagle,3.8783333333333334
Golden Books,4.37
Golden Gryphon Press,4.0600000000000005
Golden/Disney,4.1000000000000005
Goldmann,3.7775
Goldmann Verlag,3.94
Gollancz,3.9442857142857144
Gollehon Books,3.75
Gotham,3.54
Grafton,4.12
Gramedia Pustaka Utama,3.44
